num,source_path,classification,proposed_bucket,final_bucket
1,"_COMMUNICATION/90_Architects_comunication/ARCHITECT_DIRECTIVE_TEAM_100_v1_2_KICKOFF.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
2,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v1/02_PRODUCT/LOD_400_FIDELITY_STANDARDS.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
3,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v1/MISSION_DIRECTIVE_90_01.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
4,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v2/01_SUMMARY/ARCHITECT_MANDATE_IMPLEMENTATION_SUMMARY.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
5,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v2/03_DOCUMENTATION/POLICY_UPDATES.md","WORKING_OR_THREAD_ARTIFACT","02-POLICIES","02-POLICIES"
6,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_BASE_SYSTEMS_DESIGN_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
7,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_DESIGN_CONTRACTS_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","05-CONTRACTS","05-CONTRACTS"
8,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_DOCS_INTEGRITY_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
9,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_DRIFT_FIX_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
10,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_GOVERNANCE_PROCEDURES_V2.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
11,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_HEADER_UNIFICATION_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
12,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_INFRASTRUCTURE_RETROFIT_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
13,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_KNOWLEDGE_PROMOTION_PROTOCOL.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
14,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_P0_RED_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
15,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_PHASE_2_EXECUTION_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
16,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_PHASE_2_FULL_KICKOFF_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
17,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_PHASE_2_FULL_RELEASE_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
18,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_PHASE_2_KICKOFF_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
19,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_PHASE_2_REFINED_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
20,"_COMMUNICATION/90_Architects_comunication/EXTERNAL_AUDIT_v3/ARCHITECT_TRADING_ACCOUNTS_RED_FIX_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
21,"_COMMUNICATION/90_Architects_comunication/TEAM_10_STAGE_1_REQUIREMENTS_MANDATE.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
22,"_COMMUNICATION/90_Architects_comunication/TEAM_70_DIRECTIVE_NARRATIVE_PRODUCTION.md","WORKING_OR_THREAD_ARTIFACT","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
23,"_COMMUNICATION/90_Architects_comunication/TEAM_90_TO_ARCHITECT_D39_USER_PREFERENCES_SPEC_FOR_APPROVAL.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS"
24,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/ARCHITECT_RICH_TEXT_AND_SANITIZATION_POLICY.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","02-POLICIES","02-POLICIES"
25,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/BATCH_2_5_COMPLETIONS_MANDATE.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
26,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/CSS_EXCELLENCE_PROTOCOL.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","03-PROTOCOLS","03-PROTOCOLS"
27,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/OVERVIEW_PACK/TT2_GOVERNANCE_AND_QUALITY_GATES.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","09-OTHER_GOVERNANCE","03-PROTOCOLS"
28,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/TT2_GOVERNANCE_AND_AI_COMMUNICATION_PROTOCOL.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","03-PROTOCOLS","03-PROTOCOLS"
29,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/TT2_PAGE_TEMPLATE_CONTRACT.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","05-CONTRACTS","05-CONTRACTS"
30,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/TT2_PAGE_TEMPLATE_CONTRACT_v1.1.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","05-CONTRACTS","05-CONTRACTS"
31,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/TT2_TASK_GOVERNANCE_PROTOCOL.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","03-PROTOCOLS","03-PROTOCOLS"
32,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/TT2_VERSIONING_POLICY.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","02-POLICIES","02-POLICIES"
33,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/סיכום בץ 1/02_PRODUCT/LOD_400_FIDELITY_STANDARDS.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
34,"_COMMUNICATION/_ARCHITECT_INBOX/90_ARCHITECTS_DOCUMENTATION/סיכום בץ 1/LOD_400_FIDELITY_STANDARDS_FINAL.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
35,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_1/CANONICAL_STRUCTURAL_UPDATE_v2.2.0/SUBMISSION_v2.2.1/DIRECTIVE_RECORD.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
36,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_1/CANONICAL_STRUCTURAL_UPDATE_v2.2.0/SUBMISSION_v2.2.1/PROCEDURE_AND_CONTRACT_REFERENCE.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","04-PROCEDURES","04-PROCEDURES"
37,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_1/CANONICAL_STRUCTURAL_UPDATE_v2.2.0/SUBMISSION_v2.2.1/SSM_VERSION_REFERENCE.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","01-FOUNDATIONS","01-FOUNDATIONS"
38,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_1/CANONICAL_STRUCTURAL_UPDATE_v2.2.0/SUBMISSION_v2.2.1/WSM_VERSION_REFERENCE.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","01-FOUNDATIONS","01-FOUNDATIONS"
39,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_2/S001_P001_WP001_EXECUTION_APPROVAL/SUBMISSION_v1.0.0/DIRECTIVE_RECORD.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
40,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_2/S001_P001_WP001_EXECUTION_APPROVAL/SUBMISSION_v1.0.0/PROCEDURE_AND_CONTRACT_REFERENCE.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","04-PROCEDURES","04-PROCEDURES"
41,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_2/S001_P001_WP001_EXECUTION_APPROVAL/SUBMISSION_v1.0.0/SSM_VERSION_REFERENCE.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","01-FOUNDATIONS","01-FOUNDATIONS"
42,"_COMMUNICATION/_ARCHITECT_INBOX/AGENT_OS_PHASE_1/INFRASTRUCTURE_STAGE_2/S001_P001_WP001_EXECUTION_APPROVAL/SUBMISSION_v1.0.0/WSM_VERSION_REFERENCE.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","01-FOUNDATIONS","01-FOUNDATIONS"
43,"_COMMUNICATION/_ARCHITECT_INBOX/SSM_LOCK_AND_STRUCTURE_ALIGNMENT_SPEC_APPROVAL_REQUEST/COVER_NOTE_SPEC_APPROVAL_REQUEST.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
44,"_COMMUNICATION/_ARCHITECT_INBOX/SSM_LOCK_AND_STRUCTURE_ALIGNMENT_SPEC_APPROVAL_REQUEST/EVIDENCE_MAPPING_TO_GOVERNANCE_MODEL.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
45,"_COMMUNICATION/_ARCHITECT_INBOX/SSM_LOCK_AND_STRUCTURE_ALIGNMENT_SPEC_APPROVAL_REQUEST/PHOENIX_MASTER_SSM_v1.1.0_PROPOSED.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","01-FOUNDATIONS","01-FOUNDATIONS"
46,"_COMMUNICATION/_ARCHITECT_INBOX/SSM_LOCK_AND_STRUCTURE_ALIGNMENT_SPEC_APPROVAL_REQUEST/SSM_DIFF_SUMMARY_v1.0.0_to_v1.1.0.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","01-FOUNDATIONS","01-FOUNDATIONS"
47,"_COMMUNICATION/_ARCHITECT_INBOX/TEAM_190_ARCHITECTURAL_REAPPROVAL_SUBMISSION_CANONICAL_STRUCTURAL_UPDATE_v2.2.0.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
48,"_COMMUNICATION/_ARCHITECT_INBOX/TEAM_190_ARCHITECTURAL_REAPPROVAL_SUBMISSION_CANONICAL_STRUCTURAL_UPDATE_v2.2.1.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
49,"_COMMUNICATION/_ARCHITECT_INBOX/TEAM_190_ARCH_APPROVAL_PACKAGE_FORMAT_LOCK_GOVERNANCE_REFERENCES_v1.0.0.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
50,"_COMMUNICATION/_ARCHITECT_INBOX/TEAM_90_EXECUTION_APPROVAL_SUBMISSION_S001_P001_WP001_v1.0.0.md","KEEP_IN_ARCHITECT_INBOX_REFERENCE_ONLY","08-WORKING_VALIDATION_RECORDS","08-WORKING_VALIDATION_RECORDS"
51,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_AUDIT_V2_APPROVAL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
52,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_BASE_SYSTEMS_DESIGN_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
53,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_BATCH_1_CLOSURE_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
